Month,Day,Mean_Temperature,Max_Temperature,Min_Temperature,Daily_Rainfall_Total_mm,Date
12,29,25.8,28.9,24.2,2,2021-12-29
12,30,25.5,27.1,24.4,0,2021-12-30
12,31,26.3,29.2,24.8,0,2021-12-31
1,1,25.8,27.5,24.8,0.6,2021-01-01
1,2,26.8,30.3,24.5,0,2021-01-02
1,3,27.1,30.7,24.6,0,2021-01-03
1,4,27.7,32.1,24.8,0,2021-01-04
1,5,27.8,32.4,25,0,2021-01-05
1,6,26.6,31.3,24.2,21.8,2021-01-06
1,7,26.2,31.1,23.3,22.4,2021-01-07
1,8,25.8,30,24.4,0.8,2021-01-08
1,9,25,27,23.9,0.4,2021-01-09
1,10,25.9,30.7,23.7,33.6,2021-01-10
1,11,26.7,29.9,24.7,0,2021-01-11
1,12,27.3,30.9,25.4,0,2021-01-12
1,13,27.4,31.5,24.8,0,2021-01-13
1,14,27.6,30.8,25.5,0,2021-01-14
1,15,27.2,31.1,24.8,0,2021-01-15
1,16,26.9,31,24.2,0,2021-01-16
1,17,26.8,30.9,24,0,2021-01-17
1,18,26.7,30.6,23.9,0,2021-01-18
1,19,27,30.8,24.7,0,2021-01-19
1,20,27,30.7,25,0,2021-01-20
1,21,26.9,30.7,25.2,0,2021-01-21
1,22,27.2,30.9,25.4,0,2021-01-22
1,23,26.8,30.4,24.4,0,2021-01-23
1,24,27,30.9,24.8,0,2021-01-24
1,25,27.1,30.6,25.2,0,2021-01-25
1,26,27,30.7,25,0,2021-01-26
1,27,27.3,31.3,24.7,0,2021-01-27
1,28,27.4,31.8,24,0,2021-01-28
1,29,26.5,29.4,25.1,0,2021-01-29
1,30,26.9,31.2,24.6,0,2021-01-30
1,31,27.3,31.8,25,0,2021-01-31
2,1,26.5,31.2,23.7,0,2021-02-01
2,2,25.9,29.1,23.8,3.4,2021-02-02
2,3,25.8,29.6,24.1,0.2,2021-02-03
2,4,25.8,28.5,23.6,0.2,2021-02-04
2,5,26.9,30.8,25.2,0,2021-02-05
2,6,26.2,30,23.6,10.8,2021-02-06
2,7,26.7,30.6,24.9,0.2,2021-02-07
2,8,26.7,30.5,24.4,0,2021-02-08
2,9,26.9,30.7,25,0,2021-02-09
2,10,26.7,30.4,24.5,0,2021-02-10
2,11,26.6,31.1,23.6,0,2021-02-11
2,12,26.3,30.8,23.3,0,2021-02-12
2,13,26.6,30.8,24,0,2021-02-13
2,14,26.8,30.9,23.7,0,2021-02-14
2,15,27.1,32,23.9,0,2021-02-15
2,16,27.4,32,24.7,0,2021-02-16
2,17,27.4,32,24.7,0,2021-02-17
2,18,27.8,32.4,24.9,0,2021-02-18
2,19,26.5,30.9,23.1,4,2021-02-19
2,20,27.5,32.2,25.3,0,2021-02-20
2,21,27.3,32.1,24.6,0,2021-02-21
2,22,27.3,31.6,24.5,0,2021-02-22
2,23,28,33.6,25.2,0,2021-02-23
2,24,27.4,31.3,24.8,0,2021-02-24
2,25,27.6,32.5,24.7,0,2021-02-25
2,26,27.4,31.8,25,0,2021-02-26
